category,food_id,food_name,calorie,water,protein,fat,cholesterol,carb,fiber,ash
10,10226,＜魚類＞はぜ　つくだ煮　　　,284,23.2,24.3,3,270,39.9,0,9.6
10,10227,＜魚類＞はぜ　甘露煮　　　,265,29.5,21.1,2.2,210,40.3,0,6.9
10,10228,＜魚類＞はたはた　生　　　,113,78.8,14.1,5.7,100,,0,1.4
10,10229,＜魚類＞はたはた　生干し　　　,167,71.1,16.7,10.3,130,,0,1.9
10,10230,＜魚類＞はまふえふき　生　　　,90,77.7,20.5,0.3,47,0.1,0,1.4
10,10231,＜魚類＞はも　生　　　,144,71,22.3,5.3,75,,0,1.4
10,10233,＜魚類＞ひらまさ　生　　　,142,71.1,22.6,4.9,68,0.1,0,1.3
10,10234,＜魚類＞ひらめ　天然　生　　　,103,76.8,20,2,55,,0,1.2
10,10235,＜魚類＞ひらめ　養殖　皮つき　生　　　,126,73.7,21.6,3.7,62,,0,1.3
10,10410,＜魚類＞ひらめ　養殖　皮なし　刺身　　　,113,76,21.2,2.5,53,0.1,0,1.2
10,10236,＜魚類＞（ふぐ類）　とらふぐ　養殖　生　　,85,78.9,19.3,0.3,65,0.2,0,1.3
10,10237,＜魚類＞（ふぐ類）　まふぐ　生　　,84,79.3,18.9,0.4,55,,0,1.4
10,10238,＜魚類＞ふな　生　　　,101,78,18.2,2.5,64,0.1,0,1.2
10,10239,＜魚類＞ふな　水煮　　　,112,75.6,20.3,2.8,84,0.1,0,1.2
10,10240,＜魚類＞ふな　甘露煮　　　,272,28.7,15.5,3.6,160,44.4,0,7.8
10,10241,＜魚類＞ぶり　成魚　生　　,257,59.6,21.4,17.6,72,0.3,0,1.1
10,10242,＜魚類＞ぶり　成魚　焼き　　,304,51.8,26.2,20.4,89,0.3,0,1.3
10,10243,＜魚類＞ぶり　はまち　養殖　皮つき　生　　,251,61.5,20.7,17.2,77,0.3,0,1.1
10,10411,＜魚類＞ぶり　はまち　養殖　皮なし　刺身　　,203,66.4,21,12,78,0.3,0,1.1
10,10244,＜魚類＞ほうぼう　生　　　,122,74.9,19.6,4.2,55,,0,1.3
10,10245,＜魚類＞ホキ　生　　　,84,80.4,17,1.3,49,,0,1.3
10,10246,＜魚類＞ほっけ　生　　　,115,77.1,17.3,4.4,73,0.1,0,1.1
10,10247,＜魚類＞ほっけ　塩ほっけ　　　,123,72.4,18.1,4.9,60,0.1,0,4.5
10,10248,＜魚類＞ほっけ　開き干し　生　　,176,67,20.6,9.4,86,0.1,0,3
10,10412,＜魚類＞ほっけ　開き干し　焼き　　,200,63.7,23.1,10.9,100,0.2,0,3.3
10,10249,＜魚類＞ぼら　生　　　,128,74.7,19.2,5,65,0.1,0,1
10,10250,＜魚類＞ぼら　からすみ　　　,423,25.9,40.4,28.9,860,0.3,0,4.5
10,10251,＜魚類＞ほんもろこ　生　　　,113,75.1,17.5,4.1,210,0.1,0,3.2
10,10252,＜魚類＞（まぐろ類）　きはだ　生　　,106,74,24.3,0.4,37,,0,1.3
10,10253,＜魚類＞（まぐろ類）　くろまぐろ　赤身　生　　,125,70.4,26.4,1.4,50,0.1,0,1.7
10,10254,＜魚類＞（まぐろ類）　くろまぐろ　脂身　生　　,344,51.4,20.1,27.5,55,0.1,0,0.9
10,10255,＜魚類＞（まぐろ類）　びんなが　生　　,117,71.8,26,0.7,49,0.2,0,1.3
10,10256,＜魚類＞（まぐろ類）　みなみまぐろ　赤身　生　　,93,77,21.6,0.1,52,0.1,0,1.2
10,10257,＜魚類＞（まぐろ類）　みなみまぐろ　脂身　生　　,352,50.3,20.3,28.3,59,0.1,0,1
10,10258,＜魚類＞（まぐろ類）　めじまぐろ　生　　,152,68.7,25.2,4.8,58,0.1,0,1.2
10,10259,＜魚類＞（まぐろ類）　めばち　生　　,108,74.4,22.8,1.2,43,0.2,0,1.4
10,10260,＜魚類＞（まぐろ類）　缶詰　水煮　フレーク　ライト　　,71,82,16,0.7,35,0.2,0,1.1
10,10261,＜魚類＞（まぐろ類）　缶詰　水煮　フレーク　ホワイト　　,97,77.6,18.3,2.5,34,0.4,0,1.2
